nohup: ignoring input
================================================================================
[INFO] -- Experiment Configs --
        training
           lr:           0.0100
         seed:           1
       epochs:           1000
       method:           mlqp2
hidden number:           256
================================================================================
[INFO]: the plt save address is ./model=mlqp2_lr=0.01_seed=1_hidden_num=256
cuda
[INFO] -- MLQP2 INIT --
Epoch : 0, Training loss = 0.27, Training Acc = 0.51, Validation loss = 0.29, Validation Acc = 0.47
Epoch : 1, Training loss = 0.27, Training Acc = 0.52, Validation loss = 0.29, Validation Acc = 0.48
Epoch : 2, Training loss = 0.26, Training Acc = 0.52, Validation loss = 0.28, Validation Acc = 0.49
Epoch : 3, Training loss = 0.26, Training Acc = 0.53, Validation loss = 0.28, Validation Acc = 0.50
Epoch : 4, Training loss = 0.26, Training Acc = 0.54, Validation loss = 0.27, Validation Acc = 0.51
Epoch : 5, Training loss = 0.26, Training Acc = 0.54, Validation loss = 0.27, Validation Acc = 0.52
Epoch : 6, Training loss = 0.25, Training Acc = 0.55, Validation loss = 0.26, Validation Acc = 0.52
Epoch : 7, Training loss = 0.25, Training Acc = 0.56, Validation loss = 0.26, Validation Acc = 0.52
Epoch : 8, Training loss = 0.25, Training Acc = 0.56, Validation loss = 0.25, Validation Acc = 0.54
Epoch : 9, Training loss = 0.25, Training Acc = 0.57, Validation loss = 0.25, Validation Acc = 0.57
Epoch : 10, Training loss = 0.24, Training Acc = 0.59, Validation loss = 0.24, Validation Acc = 0.59
Epoch : 11, Training loss = 0.24, Training Acc = 0.60, Validation loss = 0.24, Validation Acc = 0.61
Epoch : 12, Training loss = 0.24, Training Acc = 0.61, Validation loss = 0.23, Validation Acc = 0.66
Epoch : 13, Training loss = 0.23, Training Acc = 0.62, Validation loss = 0.22, Validation Acc = 0.68
Epoch : 14, Training loss = 0.23, Training Acc = 0.64, Validation loss = 0.21, Validation Acc = 0.68
Epoch : 15, Training loss = 0.22, Training Acc = 0.65, Validation loss = 0.21, Validation Acc = 0.67
Epoch : 16, Training loss = 0.21, Training Acc = 0.66, Validation loss = 0.20, Validation Acc = 0.68
Epoch : 17, Training loss = 0.21, Training Acc = 0.68, Validation loss = 0.19, Validation Acc = 0.68
Epoch : 18, Training loss = 0.20, Training Acc = 0.69, Validation loss = 0.18, Validation Acc = 0.70
Epoch : 19, Training loss = 0.19, Training Acc = 0.70, Validation loss = 0.18, Validation Acc = 0.71
Epoch : 20, Training loss = 0.19, Training Acc = 0.71, Validation loss = 0.17, Validation Acc = 0.71
Epoch : 21, Training loss = 0.18, Training Acc = 0.71, Validation loss = 0.17, Validation Acc = 0.71
Epoch : 22, Training loss = 0.18, Training Acc = 0.72, Validation loss = 0.16, Validation Acc = 0.72
Epoch : 23, Training loss = 0.18, Training Acc = 0.73, Validation loss = 0.16, Validation Acc = 0.72
Epoch : 24, Training loss = 0.17, Training Acc = 0.73, Validation loss = 0.16, Validation Acc = 0.72
Epoch : 25, Training loss = 0.17, Training Acc = 0.74, Validation loss = 0.15, Validation Acc = 0.73
Epoch : 26, Training loss = 0.17, Training Acc = 0.74, Validation loss = 0.15, Validation Acc = 0.73
Epoch : 27, Training loss = 0.17, Training Acc = 0.74, Validation loss = 0.15, Validation Acc = 0.74
Epoch : 28, Training loss = 0.16, Training Acc = 0.75, Validation loss = 0.15, Validation Acc = 0.74
Epoch : 29, Training loss = 0.16, Training Acc = 0.75, Validation loss = 0.15, Validation Acc = 0.74
Epoch : 30, Training loss = 0.16, Training Acc = 0.75, Validation loss = 0.14, Validation Acc = 0.74
Epoch : 31, Training loss = 0.16, Training Acc = 0.76, Validation loss = 0.14, Validation Acc = 0.75
Epoch : 32, Training loss = 0.15, Training Acc = 0.76, Validation loss = 0.14, Validation Acc = 0.75
Epoch : 33, Training loss = 0.15, Training Acc = 0.77, Validation loss = 0.14, Validation Acc = 0.76
Epoch : 34, Training loss = 0.15, Training Acc = 0.77, Validation loss = 0.13, Validation Acc = 0.76
Epoch : 35, Training loss = 0.15, Training Acc = 0.78, Validation loss = 0.13, Validation Acc = 0.76
Epoch : 36, Training loss = 0.14, Training Acc = 0.78, Validation loss = 0.13, Validation Acc = 0.77
Epoch : 37, Training loss = 0.14, Training Acc = 0.79, Validation loss = 0.13, Validation Acc = 0.78
Epoch : 38, Training loss = 0.14, Training Acc = 0.79, Validation loss = 0.12, Validation Acc = 0.79
Epoch : 39, Training loss = 0.14, Training Acc = 0.80, Validation loss = 0.12, Validation Acc = 0.82
Epoch : 40, Training loss = 0.13, Training Acc = 0.80, Validation loss = 0.12, Validation Acc = 0.84
Epoch : 41, Training loss = 0.13, Training Acc = 0.81, Validation loss = 0.11, Validation Acc = 0.87
Epoch : 42, Training loss = 0.12, Training Acc = 0.82, Validation loss = 0.11, Validation Acc = 0.87
Epoch : 43, Training loss = 0.12, Training Acc = 0.83, Validation loss = 0.11, Validation Acc = 0.88
Epoch : 44, Training loss = 0.11, Training Acc = 0.84, Validation loss = 0.10, Validation Acc = 0.89
Epoch : 45, Training loss = 0.11, Training Acc = 0.85, Validation loss = 0.10, Validation Acc = 0.91
Epoch : 46, Training loss = 0.10, Training Acc = 0.87, Validation loss = 0.09, Validation Acc = 0.93
Epoch : 47, Training loss = 0.10, Training Acc = 0.88, Validation loss = 0.08, Validation Acc = 0.94
Epoch : 48, Training loss = 0.09, Training Acc = 0.90, Validation loss = 0.08, Validation Acc = 0.94
Epoch : 49, Training loss = 0.08, Training Acc = 0.91, Validation loss = 0.07, Validation Acc = 0.94
Epoch : 50, Training loss = 0.08, Training Acc = 0.92, Validation loss = 0.07, Validation Acc = 0.94
Epoch : 51, Training loss = 0.07, Training Acc = 0.93, Validation loss = 0.06, Validation Acc = 0.95
Epoch : 52, Training loss = 0.07, Training Acc = 0.94, Validation loss = 0.06, Validation Acc = 0.95
Epoch : 53, Training loss = 0.06, Training Acc = 0.94, Validation loss = 0.05, Validation Acc = 0.96
Epoch : 54, Training loss = 0.06, Training Acc = 0.94, Validation loss = 0.05, Validation Acc = 0.96
Epoch : 55, Training loss = 0.06, Training Acc = 0.95, Validation loss = 0.05, Validation Acc = 0.97
Epoch : 56, Training loss = 0.05, Training Acc = 0.95, Validation loss = 0.04, Validation Acc = 0.97
Epoch : 57, Training loss = 0.05, Training Acc = 0.96, Validation loss = 0.04, Validation Acc = 0.97
Epoch : 58, Training loss = 0.05, Training Acc = 0.96, Validation loss = 0.04, Validation Acc = 0.97
Epoch : 59, Training loss = 0.04, Training Acc = 0.96, Validation loss = 0.04, Validation Acc = 0.98
Epoch : 60, Training loss = 0.04, Training Acc = 0.96, Validation loss = 0.04, Validation Acc = 0.98
Epoch : 61, Training loss = 0.04, Training Acc = 0.96, Validation loss = 0.03, Validation Acc = 0.98
Epoch : 62, Training loss = 0.04, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.98
Epoch : 63, Training loss = 0.04, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.99
Epoch : 64, Training loss = 0.03, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.99
Epoch : 65, Training loss = 0.03, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.99
Epoch : 66, Training loss = 0.03, Training Acc = 0.97, Validation loss = 0.03, Validation Acc = 0.99
Epoch : 67, Training loss = 0.03, Training Acc = 0.98, Validation loss = 0.02, Validation Acc = 0.99
